site,age,q,mean,lower,upper
K,3.2261306532663316,0.1,167.1928272166189,151.63453599471134,182.11993166243874
K,3.2562814070351758,0.1,170.24192115886936,154.40309956309622,186.04308453265534
K,3.28643216080402,0.1,173.3636533256077,157.04755249742664,189.97642834700824
K,3.316582914572864,0.1,176.56027706134785,159.80727428886775,193.97965016612048
K,3.3467336683417086,0.1,179.83404571060362,162.65368043176704,198.22050490382279
K,3.3768844221105527,0.1,183.18721261788886,165.59237582027745,202.3988630161066
K,3.407035175879397,0.1,186.62203112771746,168.6231914877086,207.08512522506064
K,3.437185929648241,0.1,190.14075458460331,171.58687986938196,211.59038791034595
K,3.467336683417085,0.1,193.7456363330603,174.67997609082198,216.31722956095956
K,3.4974874371859297,0.1,197.43892971760226,177.8282693593886,221.07584030259005
K,3.527638190954774,0.1,201.22250923253347,181.4778841271259,226.2443839767288
K,3.557788944723618,0.1,205.0963016095861,185.12205937638183,231.6420466219508
K,3.587939698492462,0.1,209.05960937424888,188.79675081046108,237.15678774363798
K,3.618090452261306,0.1,213.11173476737508,192.372132521053,242.6522716897357
K,3.648241206030151,0.1,217.25198002981796,196.21761438608328,248.59006923799546
K,3.678391959798995,0.1,221.47964740243046,200.12057292937968,254.6498187230653
K,3.708542713567839,0.1,225.79403912606585,204.12899232335212,260.72612581157637
K,3.738693467336683,0.1,230.19445744157738,208.57280022551436,266.5946730959502
K,3.7688442211055273,0.1,234.68020458981803,212.77155919808135,273.06782727212743
K,3.798994974874372,0.1,239.25058281164107,216.6007539363584,279.3616125034626
K,3.829145728643216,0.1,243.90489434789967,220.46240795259808,285.4526321248158
K,3.85929648241206,0.1,248.64244143944708,224.83891635685947,292.44854483156075
K,3.8894472361809043,0.1,253.46252632713626,228.50778863652297,299.19164319034564
K,3.9195979899497484,0.1,258.3644512518206,233.01719182545148,305.9005726508393
K,3.949748743718593,0.1,263.347518454353,236.9654319737993,312.1879339993958
K,3.979899497487437,0.1,268.4110301755869,241.27803531086218,318.26189440844377
K,4.010050251256281,0.1,273.55427631917433,244.96880339863577,324.4575068440943
K,4.040201005025126,0.1,278.7758065567121,248.6346994507542,331.3788541210154
K,4.0703517587939695,0.1,284.0730232001103,252.70987039330393,337.59937119983556
K,4.100502512562814,0.1,289.44322986367223,256.17723007916516,343.96814018494655
K,4.130653266331658,0.1,294.88373016170044,259.7962263766695,350.6324402848508
K,4.160804020100502,0.1,300.39182770849834,263.53568255855026,356.97448153791794
K,4.190954773869347,0.1,305.96482611836865,267.10916376004576,364.2661924014426
K,4.221105527638191,0.1,311.6000290056142,270.6087955024456,371.88137922440825
K,4.251256281407035,0.1,317.2947399845381,273.8752971432249,379.16193945896214
K,4.281407035175879,0.1,323.04626266944325,277.2742395339974,385.82195123926016
K,4.311557788944723,0.1,328.8519006746329,280.57600633518865,393.40376696337995
K,4.341708542713568,0.1,334.7089576144097,283.88594576724216,400.575746927934
K,4.371859296482412,0.1,340.61473710307644,287.52943389261117,407.8479363534556
K,4.402010050251256,0.1,346.56654275493673,291.0259392688318,415.0713328156253
K,4.4321608040201,0.1,352.56167818429276,294.3547402244179,421.9622992901551
K,4.4623115577889445,0.1,358.59744700544803,297.9446843294988,429.51069833507313
K,4.492462311557789,0.1,364.6711528327054,301.26273408491994,437.2325453042768
K,4.522613065326633,0.1,370.7801386826926,304.5999678552846,445.7963245634081
K,4.552763819095477,0.1,376.92209051820237,307.94875490350984,453.57768974565374
K,4.582914572864321,0.1,383.0948708828169,311.31672468233074,463.04265348716535
K,4.613065326633166,0.1,389.29634377946456,314.78062225583574,474.34385643652575
K,4.64321608040201,0.1,395.52437321107374,318.2743889461707,486.3287862755093
K,4.673366834170854,0.1,401.77682318057197,321.86394500085225,497.5279961828528
K,4.703517587939698,0.1,408.0515576908882,325.1795898955783,508.2537506637202
K,4.733668341708542,0.1,414.3464407449499,328.6397880995394,517.5194371518663
K,4.763819095477387,0.1,420.6593363456856,332.0675530305673,528.9294226765826
K,4.793969849246231,0.1,426.98810849602336,335.3050455152157,540.4092655189032
K,4.824120603015075,0.1,433.3306211988911,338.5425864873151,553.8479958934491
K,4.8542713567839195,0.1,439.68473845721763,341.78097090643183,566.6458192972905
K,4.884422110552763,0.1,446.04832427393006,345.11276010637187,576.2780970082279
K,4.914572864321608,0.1,452.4192426519576,348.6450967896085,587.1622789347468
